REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
293206,2018-10-04T09:11:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Spring Hill-City View,1,26,42003262000,1,26,1,11-Jan,-79.99845974,40.47049157,APPROXIMATE
293204,2018-10-04T09:10:00,Abandoned Vehicle (parked on street),Website,1,Police - AVU,Hays,5,31,42003562900,3,31,4,20-Apr,-79.93497551,40.39081028,APPROXIMATE
293205,2018-10-04T09:10:00,Homeless,Call Center,0,Mayor's Office - Community Affairs,South Side Slopes,3,16,42003160800,3,16,3,22-Apr,-79.96833414,40.41943232,EXACT
293203,2018-10-04T09:07:00,Missed Pick Up,Call Center,1,DPW - Refuse,Stanton Heights,9,10,42003100500,2,10,5,7-Mar,-79.93430743,40.47582637,APPROXIMATE
293202,2018-10-04T09:05:00,Commercial Refuse/Dumpsters,Website,1,DPW - Refuse,Knoxville,3,30,42003300100,5,30,3,6-Apr,-79.9886652,40.4149825,EXACT
293201,2018-10-04T08:58:00,Litter,Call Center,0,DPW - Street Maintenance,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,-80.0347325,40.4734395,EXACT
293200,2018-10-04T08:56:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Overbrook,4,32,42003320700,5,32,3,25-Apr,-79.9973099,40.3845759,EXACT
293199,2018-10-04T08:55:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Shadyside,8,7,42003070600,2,7,4,11-Mar,-79.9265782,40.4525498,EXACT
293198,2018-10-04T08:53:00,Wires,Call Center,1,DOMI - Permits,Spring Garden,1,24,42003241200,1,24,1,24-Jan,-79.992311,40.46172486,EXACT
293197,2018-10-04T08:52:00,Overgrowth,Call Center,1,DPW - Street Maintenance,East Allegheny,1,24,42003262000,1,24,1,24-Jan,-79.99351656,40.46103812,EXACT
293196,2018-10-04T08:48:00,Missed Pick Up,Website,1,DPW - Refuse,Hazelwood,5,15,42003562300,3,15,4,12-Feb,-79.93698186,40.41576772,APPROXIMATE
293194,2018-10-04T08:43:00,City Source (CDBG),Call Center,0,"City Source Associates, Inc.",Mount Washington,2,19,42003191500,5,19,3,27-Apr,-80.00885555,40.42333507,APPROXIMATE
293195,2018-10-04T08:43:00,Utility Cut - Other,Twitter,1,DOMI - Permits,Overbrook,4,32,42003320700,5,32,3,25-Apr,-79.9974381,40.3907999,EXACT
293192,2018-10-04T08:42:00,Building or Property Maintenance,Report2Gov Android,0,,Hazelwood,5,15,42003562300,3,15,4,12-Feb,-79.93685766,40.41584275,APPROXIMATE
293191,2018-10-04T08:42:00,Refuse Violations,Website,0,DPW - Refuse,St. Clair,3,16,42003561700,3,16,3,8-Apr,-79.97222458,40.40861437,APPROXIMATE
293193,2018-10-04T08:42:00,Building Without a Permit,Call Center,1,"Permits, Licenses and Inspections",Central Northside,1,22,42003220600,1,22,1,21-Jan,-80.01229504,40.45547162,APPROXIMATE
293190,2018-10-04T08:41:00,City Source (CDBG),Call Center,0,"City Source Associates, Inc.",Perry South,6,25,42003261400,1,25,1,10-Jan,-80.01347397,40.46195427,APPROXIMATE
293189,2018-10-04T08:41:00,Potholes,Website,3,DPW - Street Maintenance,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar,-79.96351049,40.46466521,EXACT
293188,2018-10-04T08:39:00,City Source (CDBG),Call Center,0,"City Source Associates, Inc.",Perry South,6,26,42003261400,1,26,1,12-Jan,-80.01621119,40.46578527,APPROXIMATE
293187,2018-10-04T08:37:00,Dead Animal,Call Center,1,Animal Care & Control,Perry South,6,26,42003261400,1,26,1,12-Jan,-80.0143038,40.4649644,EXACT
293186,2018-10-04T08:36:00,Litter,Call Center,1,DPW - Street Maintenance,Carrick,4,29,42003290200,3,29,3,12-Apr,-79.9904682,40.4046,EXACT
293185,2018-10-04T08:35:00,Refuse Violations,Call Center,3,DPW - Refuse,Carrick,4,29,42003290100,3,29,3,23-Apr,-79.99455957,40.40158199,APPROXIMATE
293184,2018-10-04T08:34:00,Missed Pick Up,Call Center,1,DPW - Refuse,Greenfield,5,15,42003151700,3,15,4,12-Feb,-79.93830424,40.42253469,APPROXIMATE
293183,2018-10-04T08:31:00,Potholes,Call Center,3,DPW - Street Maintenance,South Side Flats,3,16,42003160900,3,16,3,24-Apr,-79.9735226,40.42697986,EXACT
293182,2018-10-04T08:29:00,Request New Sign,Call Center,1,DOMI - Traffic,Point Breeze,9,14,42003140600,3,14,4,14-Mar,-79.9064699,40.4453462,EXACT
293180,2018-10-04T08:23:00,Potholes,Call Center,3,DPW - Street Maintenance,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,-80.0565811,40.4429732,EXACT
293181,2018-10-04T08:23:00,Missed Blue Bag,Call Center,1,DPW - Refuse,Bloomfield,7,8,42003080600,2,8,5,23-Mar,-79.93936851,40.46179525,APPROXIMATE
293179,2018-10-04T08:21:00,Street Light - Repair,Call Center,1,Allegheny City Electric,Brookline,4,32,42003320600,5,32,6,25-Apr,-80.0006277,40.3935781,EXACT
293178,2018-10-04T08:19:00,Abandoned Vehicle (parked on street),Call Center,0,Police - AVU,Carrick,4,29,42003290100,3,29,3,23-Apr,-79.99036986,40.39730307,APPROXIMATE
293177,2018-10-04T08:14:00,Traffic,Twitter,0,Police - Zones 1-6,Central Oakland,3,4,42003040600,3,4,4,11-Feb,-79.9564016,40.4351296,EXACT
293176,2018-10-04T08:13:00,Litter,Twitter,3,DPW - Street Maintenance,South Side Flats,3,16,42003561600,3,16,3,24-Apr,-79.95590929,40.41092305,EXACT
293175,2018-10-04T08:12:00,Paving Request,Twitter,1,DOMI - Asphalt,Hays,5,31,42003562900,3,31,4,20-Apr,-79.9387149,40.377853,EXACT
293173,2018-10-04T08:11:00,Traffic Signal Request,Twitter,3,DOMI - Traffic,East Liberty,9,11,42003111300,2,11,5,4-Mar,-79.9300902,40.4696748,EXACT
293174,2018-10-04T08:11:00,Litter,Call Center,3,DPW - Street Maintenance,Lincoln-Lemington-Belmar,9,12,42003981800,2,12,5,15-Mar,-79.89815661,40.48302402,EXACT
293172,2018-10-04T08:10:00,Rodent control,Call Center,1,Animal Care & Control,Central Oakland,3,4,42003040500,3,4,4,14-Feb,-79.95798474,40.43810391,APPROXIMATE
293171,2018-10-04T08:07:00,Sinkhole,Call Center,1,DPW - Street Maintenance,West Oakland,8,4,42003040200,3,4,4,14-Feb,-79.9574645,40.4425127,EXACT
293170,2018-10-04T08:06:00,Curb/Request for Asphalt Windrow,Call Center,3,DPW - Street Maintenance,Morningside,7,10,42003101400,2,10,5,7-Mar,-79.92521044,40.48644357,EXACT
293168,2018-10-04T08:05:00,Rodent control,Call Center,1,Animal Care & Control,Shadyside,8,7,42003070300,2,7,4,22-Mar,-79.932604,40.45037641,APPROXIMATE
293169,2018-10-04T08:05:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Bloomfield,7,8,42003080600,2,8,5,23-Mar,-79.9373811,40.4595168,EXACT
293167,2018-10-04T08:04:00,Dead Animal,Call Center,1,Animal Care & Control,Shadyside,8,7,42003070300,2,7,4,22-Mar,-79.9348041,40.4497569,EXACT
293166,2018-10-04T07:49:00,Weeds/Debris,Website,1,"Permits, Licenses and Inspections",Knoxville,3,30,42003300100,5,30,3,6-Apr,-79.99028268,40.41600303,EXACT
293165,2018-10-04T07:03:00,Replace/Repair Sign,Report2Gov iOS,1,DOMI - TrafficShop,Bloomfield,7,8,42003080600,2,8,5,23-Mar,-79.93953207,40.45842867,APPROXIMATE
293164,2018-10-04T06:51:00,Pruning (city tree),Website,3,DPW - Forestry Division,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,-79.92278,40.4257962,EXACT
293163,2018-10-04T06:49:00,"Sidewalk, Overgrowth/Obstruction",Website,0,DOMI - Permits,Central Business District,6,2,42003020100,6,2,2,3-Jan,-80.00238178,40.44403701,EXACT
293162,2018-10-04T02:20:00,"Catch Basin, Clogged",Website,0,Pittsburgh Water and Sewer Authority,Windgap,2,20,42003202200,5,20,6,16-Jan,-80.0660045,40.4505321,EXACT
293161,2018-10-04T01:55:00,Potholes,Report2Gov iOS,3,DPW - Street Maintenance,Lower Lawrenceville,7,6,42003060300,2,6,2,2-Mar,-79.968063,40.462624,EXACT
293160,2018-10-04T01:39:00,Potholes,Report2Gov iOS,3,DPW - Street Maintenance,South Side Flats,3,17,42003170200,3,17,3,2-Apr,-79.991081,40.429871,EXACT
293159,2018-10-03T22:21:00,Bike Lane Bollard,Website,3,DPW - Construction Division,Squirrel Hill South,5,14,42003980500,3,14,4,21-Feb,-79.93721369,40.4291297,EXACT
293158,2018-10-03T22:19:00,Paving Concern/Problem,Website,0,DOMI - Asphalt,Westwood,2,28,42003563100,5,28,6,18-Jan,-80.0481863,40.42963137,EXACT
293157,2018-10-03T21:47:00,Building Maintenance,Website,1,"Permits, Licenses and Inspections",Mount Washington,2,19,42003191500,5,19,3,27-Apr,-80.00878568,40.42290089,APPROXIMATE
293156,2018-10-03T21:28:00,Traffic,Website,3,DOMI - Traffic,Squirrel Hill North,5,14,42003140300,3,14,4,18-Feb,-79.9187511,40.4384091,EXACT
293155,2018-10-03T21:10:00,Hydrant,Website,1,Pittsburgh Water and Sewer Authority,Squirrel Hill South,5,14,42003141300,3,14,4,18-Feb,-79.926438,40.4377075,EXACT
293154,2018-10-03T20:27:00,Collapsed Catch Basin,Website,1,Pittsburgh Water and Sewer Authority,Brookline,4,32,42003320600,5,32,6,26-Apr,-80.0059135,40.3941563,EXACT
293153,2018-10-03T20:06:00,Paving Request,Website,1,DOMI - Asphalt,South Side Flats,3,17,42003170200,3,17,3,24-Apr,-79.97961621,40.43007447,EXACT
293152,2018-10-03T20:04:00,Potholes,Website,3,DPW - Street Maintenance,Central Oakland,5,4,42003040600,3,4,4,11-Feb,-79.94999054,40.43773676,EXACT
293151,2018-10-03T19:36:00,Pedestrian/Bicycle Concerns,Report2Gov Android,3,DOMI - Traffic,East Liberty,9,11,42003111300,2,11,5,8-Mar,-79.92807213,40.46775673,EXACT
293150,2018-10-03T19:09:00,Abandoned Vehicle (parked on street),Website,0,Police - AVU,Perry South,6,26,42003261400,1,26,1,22-Jan,-80.00624267,40.46892187,APPROXIMATE
293149,2018-10-03T19:02:00,"Traffic or Pedestrian Signal, Request ",Website,1,DOMI - Traffic,,,,,,,,,0,0,EXACT
293148,2018-10-03T18:54:00,Potholes,Website,1,DPW - Street Maintenance,,,,,,,,,0,0,EXACT
293147,2018-10-03T18:47:00,Traffic,Website,3,DOMI - Traffic,South Side Flats,3,17,42003170200,3,17,3,24-Apr,-79.9805831,40.4259378,EXACT
293146,2018-10-03T18:44:00,Towed Vehicle,Website,0,Police - AVU,,,,,,,,,0,0,EXACT
293145,2018-10-03T18:25:00,Potholes,Website,1,DPW - Street Maintenance,Shadyside,8,7,42003070900,2,7,4,23-Feb,-79.94551464,40.45374154,EXACT
293144,2018-10-03T18:15:00,Street Cleaning/Sweeping,Report2Gov Android,1,DPW - Street Maintenance,Garfield,9,11,42003111400,2,11,5,8-Mar,-79.9276289,40.46863671,EXACT
293143,2018-10-03T18:15:00,Street Cleaning/Sweeping,Report2Gov Android,1,DPW - Street Maintenance,East Liberty,9,11,42003111300,2,11,5,8-Mar,-79.92711861,40.46970313,EXACT
293142,2018-10-03T18:14:00,Street Cleaning/Sweeping,Report2Gov Android,1,DPW - Street Maintenance,East Liberty,9,11,42003111300,2,11,5,8-Mar,-79.9265369,40.47092741,EXACT
293141,2018-10-03T18:11:00,Abandoned Vehicle (parked on street),Website,0,Police - AVU,Garfield,9,10,42003101700,2,10,5,4-Mar,-79.93805105,40.4663965,APPROXIMATE
